Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Anderson,Nott'm Forest,MID,5.4,57,OK,10.56,7.0,1.0,57.0,NFO,1164.5333333333335,1176.6666666666667,1164.5333333333335,0.05
Anthony,Burnley,MID,5.4,56,OK,10.37,5.0,1.0,56.0,BUR,1163.8,1171.8,1163.8,0.05
Tavernier,Bournemouth,MID,5.5,56,OK,10.18,2.0,1.0,56.0,BOU,1136.4666666666667,1189.4666666666665,1136.4666666666667,0.05
Sessegnon,Fulham,MID,5.4,56,OK,10.37,6.0,1.0,56.0,FUL,1133.7333333333331,1154.6666666666667,1133.7333333333331,0.05
Doku,Man City,MID,6.6,56,OK,8.48,10.0,1.0,56.0,MCI,1127.7333333333333,1160.7333333333333,1127.7333333333333,0.05
Zubimendi,Arsenal,MID,5.3,55,OK,10.38,5.0,1.0,55.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.05
Wilson,Fulham,MID,5.2,54,DOUBT,10.38,18.0,1.0,54.0,FUL,1133.7333333333331,1154.6666666666667,1133.7333333333331,0.05
E Le Fee,Sunderland,MID,4.9,54,OK,11.02,54.0,1.0,54.0,SUN,1173.4666666666667,1251.3999999999999,1173.4666666666667,0.05
Garner,Everton,MID,5.0,53,OK,10.6,5.0,1.0,53.0,EVE,1180.4666666666667,1166.1333333333334,1180.4666666666667,0.04
Gibbs-White,Nott'm Forest,MID,7.3,53,DOUBT,7.26,5.0,1.0,53.0,NFO,1164.5333333333335,1176.6666666666667,1164.5333333333335,0.05
Wieffer,Brighton,MID,4.9,52,OK,10.61,12.0,1.0,52.0,BHA,1152.3999999999999,1196.9333333333332,1152.3999999999999,0.05
Iwobi,Fulham,MID,6.4,52,OK,8.12,9.0,1.0,52.0,FUL,1133.7333333333331,1154.6666666666667,1133.7333333333331,0.05
Merino,Arsenal,MID,6.0,51,OK,8.5,51.0,1.0,51.0,ARS,1139.4666666666665,1165.8,1139.4666666666665,0.04
Szoboszlai,Liverpool,MID,6.6,51,OK,7.73,5.0,1.0,51.0,LIV,1119.7333333333333,1184.2666666666667,1119.7333333333333,0.05
Buendia,Aston Villa,MID,5.3,48,OK,9.06,8.0,1.0,48.0,AVL,1198.6666666666667,1194.3999999999999,1198.6666666666667,0.04
Talbi,Sunderland,MID,5.0,47,OK,9.4,47.0,1.0,47.0,SUN,1173.4666666666667,1251.3999999999999,1173.4666666666667,0.04
Malen,Aston Villa,MID,5.1,46,OK,9.02,10.0,1.0,46.0,AVL,1198.6666666666667,1194.3999999999999,1198.6666666666667,0.04
Schade,Brentford,MID,7.0,46,OK,6.57,4.0,1.0,46.0,BRE,1123.7333333333333,1172.3333333333333,1123.7333333333333,0.04
Kamara,Aston Villa,MID,4.9,45,OK,9.18,45.0,1.0,45.0,AVL,1198.6666666666667,1194.3999999999999,1198.6666666666667,0.04
Reijnders,Man City,MID,5.3,45,OK,8.49,10.0,1.0,45.0,MCI,1127.7333333333333,1160.7333333333333,1127.7333333333333,0.04
Aaronson,Leeds,MID,5.4,44,OK,8.15,1.0,1.0,44.0,LEE,1172.3333333333333,1224.6000000000001,1172.3333333333333,0.04
Barnes,Newcastle,MID,6.4,44,OK,6.88,5.0,1.0,44.0,NEW,1105.2,1171.5333333333335,1105.2,0.04
L.Paquetá,West Ham,MID,5.9,44,OK,7.46,-1.0,1.0,44.0,WHU,1153.6000000000001,1218.6000000000001,1153.6000000000001,0.04
McGinn,Aston Villa,MID,5.4,43,OK,7.96,43.0,1.0,43.0,AVL,1198.6666666666667,1194.3999999999999,1198.6666666666667,0.04
Amad,Man Utd,MID,6.3,43,OK,6.83,4.0,1.0,43.0,MUN,1120.7333333333333,1174.466666666667,1120.7333333333333,0.04
Kamada,Crystal Palace,MID,5.0,42,OK,8.4,7.0,1.0,42.0,CRY,1162.0666666666666,1191.6000000000001,1162.0666666666666,0.04
