Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Tavernier,Bournemouth,MID,6.1,31,OK,5.08,31,29.0,34.08,1.31,29.0,1.0,31.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.03,6.5,0.0530215217480762
Belloumi,Hull City,MID,5.1,31,OK,6.08,31,27.0,30.62,1.19,27.0,1.0,31.0,HUL,1135.7142857142858,1148.6666666666663,1135.7142857142858,0.03,0.0,0.04616830188679245
B.Fernandes,Man Utd,MID,12.0,31,OK,2.58,31,29.0,33.36,1.24,29.0,1.1,34.1,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.03,9.0,0.0591912114014252
Scott,Bournemouth,MID,6.1,30,OK,4.92,30,28.0,32.42,1.27,28.0,1.0,30.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.03,2.0,0.04726447471297477
Ødegaard,Arsenal,MID,6.8,29,OK,4.26,29,27.0,30.35,1.17,27.0,1.0,29.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.03,2.5,0.04586901606758325
Rogers,Chelsea,MID,7.7,29,OK,3.77,29,27.0,31.47,1.19,27.0,1.0,29.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.03,0.75,0.04476939229249012
Janelt,Brentford,MID,5.0,28,OK,5.6,28,25.0,26.93,1.08,25.0,1.0,28.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02,0.75,0.04169952444518604
Palmer,Chelsea,MID,9.7,28,OK,2.89,28,26.0,31.51,1.15,26.0,1.0,28.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.02,7.0,0.049332880434782615
Barnes,Newcastle,MID,6.1,28,OK,4.59,28,19.0,20.43,0.83,19.0,1.0,28.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.03,0.0,0.038007915454389876
Gibbs-White,Nott'm Forest,MID,8.0,28,OK,3.5,28,26.0,28.97,1.15,26.0,1.0,28.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.02,5.75,0.04545527022154562
Stach,Leeds,MID,6.0,27,OK,4.5,27,22.0,25.7,0.97,22.0,1.0,27.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.02,4.0,0.04013537237155229
Cunha,Man Utd,MID,7.9,26,OK,3.29,26,16.0,18.59,0.69,16.0,1.0,26.0,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.02,0.0,0.03475029691211402
Mbeumo,Man Utd,MID,7.9,25,OK,3.16,25,23.0,27.29,0.99,23.0,1.0,25.0,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.02,2.0,0.04106561757719716
Gomez,Brighton,MID,5.0,24,OK,4.8,24,16.0,18.99,0.73,16.0,1.0,24.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02,1.25,0.034110286990602215
King,Fulham,MID,5.5,24,OK,4.36,24,22.0,25.3,0.99,22.0,1.0,24.0,FUL,1063.9047619047617,1044.428571428571,1063.9047619047617,0.02,0.0,0.03920463700653479
Lewis-Potter,Brentford,MID,5.5,22,OK,4.0,22,19.0,21.22,0.82,19.0,1.0,22.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02,1.25,0.033379943267144996
M.Sangaré,Brentford,MID,5.6,22,OK,3.93,22,22.0,24.63,0.95,22.0,1.0,22.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02,0.0,0.034375980310362084
Ndiaye,Man City,MID,5.8,22,OK,3.79,22,17.0,20.21,0.76,17.0,1.0,22.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.02,0.0,0.03125873002800198
Mainoo,Man Utd,MID,5.5,22,OK,4.0,22,18.0,22.19,0.77,18.0,1.0,22.0,MUN,1122.6666666666663,1175.904761904762,1122.6666666666663,0.02,0.0,0.03343200712589075
Willock,Newcastle,MID,5.0,22,OK,4.4,22,12.0,13.46,0.52,12.0,1.0,22.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.02,0.0,0.028233013862741747
Buendía,Aston Villa,MID,5.9,21,OK,3.56,21,2.0,2.8,0.09,2.0,1.0,21.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.02,8.25,0.026332261952591404
Kamada,Crystal Palace,MID,5.0,21,OK,4.2,21,18.0,20.04,0.78,18.0,1.0,21.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.02,0.75,0.031032918921151547
Ampadu,Leeds,MID,5.4,21,OK,3.89,21,16.0,18.57,0.71,16.0,1.0,21.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.02,0.0,0.027853899270471653
Xhaka,Sunderland,MID,5.5,21,OK,3.82,21,19.0,22.73,0.86,19.0,1.0,21.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02,2.75,0.03474390956115469
Rice,Arsenal,MID,7.4,20,OK,2.7,20,19.0,21.57,0.83,19.0,1.0,20.0,ARS,1149.9047619047617,1182.6190476190477,1149.9047619047617,0.02,4.0,0.03400194633095909
Yalcouyé,Brighton,MID,4.5,20,OK,4.44,20,19.0,23.88,0.87,19.0,1.0,20.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02,0.0,0.032493404694677396
Dewsbury-Hall,Everton,MID,6.6,20,OK,3.03,20,17.0,18.08,0.73,17.0,1.0,20.0,EVE,1109.9047619047617,1106.6666666666663,1109.9047619047617,0.02,2.0,0.0312243006692981
Szoboszlai,Liverpool,MID,7.0,20,OK,2.86,20,18.0,20.21,0.77,18.0,1.0,20.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.02,9.0,0.03500432683021054
George,Everton,MID,5.5,19,OK,3.45,19,18.0,19.93,0.78,18.0,1.0,19.0,EVE,1109.9047619047617,1106.6666666666663,1109.9047619047617,0.02,0.0,0.029688132829929645
Okafor,Leeds,MID,5.8,18,OK,3.1,18,15.0,17.41,0.66,15.0,1.0,18.0,LEE,1220.6190476190477,1220.9047619047617,1220.6190476190477,0.01,0.0,0.024730893769749927
Wirtz,Liverpool,MID,7.3,18,OK,2.47,18,12.0,12.91,0.51,12.0,1.0,18.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.01,2.0,0.023557156654433066
Elanga,Newcastle,MID,6.1,18,OK,2.95,18,18.0,20.55,0.78,18.0,1.0,18.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.02,0.75,0.029772163272291634
E.Le Fée,Sunderland,MID,5.7,18,OK,3.16,18,13.0,18.19,0.59,13.0,1.0,18.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02,4.5,0.03086488403136994
McGinn,Aston Villa,MID,5.4,17,OK,3.15,17,11.0,12.32,0.49,11.0,1.0,17.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01,0.0,0.02161928485335476
